order_id,customer_id,sku,quantity,unit_price,order_date,channel,sales_amount,category,cost,active,name,country,segment,margin_amount,year_month
O000827,C0186,SKU0032,3,36.58,2025-05-28,wholesale,109.74,Premium,6.89,1,Carlos Ramírez,Germany,Retail,89.07,2025-05
O001425,C0047,SKU0002,32,56.09,2025-02-08,ecommerce,1794.88,Seasonal,14.04,1,Sofía Ortiz,Germany,E-commerce,1345.6000000000001,2025-02
O001056,C0117,SKU0010,48,60.25,2025-11-11,ecommerce,2892.0,Seasonal,10.23,1,Lucía Torres,Ecuador,E-commerce,2400.96,2025-11
O000665,C0143,SKU0024,1,13.12,2024-05-24,retail,13.12,Seasonal,18.59,1,Andrés Herrera,Canada,E-commerce,-5.470000000000001,2024-05
O001284,C0067,SKU0032,10,39.0,2026-01-14,ecommerce,390.0,Premium,6.89,1,Fernando Castro,Chile,Distributor,321.1,2026-01
O001221,C0032,SKU0043,2,72.89,2024-04-12,wholesale,145.78,Standard,7.6,1,Lucía Rojas,Canada,Corporate,130.58,2024-04
O000817,C0121,SKU0014,9,53.18,2024-12-12,retail,478.62,Premium,10.9,1,Fernando Gómez,,Wholesale,380.52,2024-12
O000941,C0097,SKU0024,48,34.78,2024-10-01,ecommerce,1669.44,Seasonal,18.59,1,Fernando Pérez,Canada,Corporate,777.1200000000001,2024-10
O000847,C0050,SKU0024,12,66.43,2025-03-24,ecommerce,797.1600000000001,Seasonal,18.59,1,Andrés Silva,France,Retail,574.08,2025-03
O000247,C0187,SKU0037,42,39.77,2026-01-09,wholesale,1670.3400000000001,Gift Box,20.7,0,Lucía Flores,USA,Retail,800.9400000000002,2026-01
O000368,C0018,SKU0025,34,41.84,2025-11-28,retail,1422.5600000000002,Luxury,22.08,0,Daniela Reyes,USA,Retail,671.8400000000001,2025-11
O001408,C0041,SKU0050,34,43.92,2024-06-17,ecommerce,1493.28,Standard,14.34,1,Ana Reyes,USA,Retail,1005.72,2024-06
O001145,C0093,SKU0020,24,57.66,2025-07-01,ecommerce,1383.84,Gift Box,17.29,1,Valentina Pérez,Mexico,Corporate,968.8799999999999,2025-07
O001130,C0090,SKU0016,2,53.98,2024-06-03,retail,107.96,Standard,21.82,1,Diego Torres,Mexico,Distributor,64.32,2024-06
O000143,C0124,SKU0033,22,12.45,2025-02-27,wholesale,273.9,Standard,24.14,1,Carlos Castro,Germany,Corporate,-257.18,2025-02
O000146,C0137,SKU0056,28,65.93,2025-05-25,ecommerce,1846.0400000000002,Seasonal,17.82,1,Luis Rojas,UK,Corporate,1347.0800000000002,2025-05
O000772,C0040,SKU0009,34,57.38,2025-04-08,wholesale,1950.92,Seasonal,18.4,1,Carlos Ortiz,UK,E-commerce,1325.3200000000002,2025-04
O000015,C0140,SKU0020,47,66.32,2025-09-07,retail,3117.0399999999995,Gift Box,17.29,1,Valentina Sánchez,Germany,Corporate,2304.41,2025-09
O000598,C0049,SKU0043,46,15.27,2024-11-11,wholesale,702.42,Standard,7.6,1,Paula Vargas,UK,E-commerce,352.82,2024-11
O001291,C0107,SKU0015,26,50.14,2024-06-09,ecommerce,1303.64,Standard,15.24,1,Lucía Reyes,France,Wholesale,907.4,2024-06
O000526,C0102,SKU0032,38,14.32,2024-06-22,ecommerce,544.16,Premium,6.89,1,Miguel Silva,USA,Corporate,282.34000000000003,2024-06
O001019,C0004,SKU0047,21,45.13,2025-08-30,retail,947.73,Luxury,14.98,0,Carlos Torres,Germany,E-commerce,633.1500000000001,2025-08
O000273,C0072,SKU0037,27,64.88,2025-02-15,ecommerce,1751.7599999999998,Gift Box,20.7,0,Carlos Sánchez,USA,Retail,1192.86,2025-02
O001216,C0047,SKU0025,2,20.05,2024-01-06,ecommerce,40.1,Luxury,22.08,0,Sofía Ortiz,Germany,E-commerce,-4.059999999999995,2024-01
O000422,C0190,SKU0012,45,36.51,2025-10-28,retail,1642.9499999999998,Standard,23.24,1,Carlos Mendoza,Spain,Retail,597.15,2025-10
O001447,C0141,SKU0020,4,21.53,2024-05-03,wholesale,86.12,Gift Box,17.29,1,Diego Rojas,Chile,E-commerce,16.960000000000008,2024-05
